,X1,X2
Unit 1,0.410266457,2.010689404
Unit 2,3.08250802,1.175286397
Unit 3,1.475124765,1.969291704
Unit 4,2.624535815,3.080116069
Unit 5,3.378206696,1.736557962
Unit 6,2.494887194,3.361988242
Unit 7,3.101937258,2.945916977
Unit 8,2.680599165,0.684342828
Unit 9,1.138219166,2.454817925
Unit 10,2.957896292,1.179864452
Unit 11,0.641101174,1.388112234
Unit 12,3.852909151,3.13663864
Unit 13,3.269600917,0.944695418
Unit 14,3.103391497,3.246506868
Unit 15,2.632752694,1.221304325
Unit 16,2.632412279,2.619915779
Unit 17,1.125088363,1.521440016
Unit 18,3.115190688,2.669452888
Unit 19,2.82742489,3.132943021
Unit 20,2.842039086,2.926607121
Unit 21,1.216747154,1.695208561
Unit 22,3.33095344,0.734929309
Unit 23,2.309483037,1.384664818
Unit 24,1.397213113,1.900477644
Unit 25,2.935705822,1.438075874
Unit 26,0.738272198,0.904234778
Unit 27,0.827731084,2.254800978
Unit 28,2.778165456,2.758959412
Unit 29,2.834101849,1.469399827
Unit 30,-0.018959026,2.634555625
Unit 31,0.720605656,1.686288217
Unit 32,0.795553839,2.497433865
Unit 33,3.258431901,0.895551674
Unit 34,2.928848739,3.112321013
Unit 35,2.532436211,0.842313814
Unit 36,2.526496103,3.060048232
